# genre sanitation list via database dump 04/10/2019
# we should only need to include the exceptions, but
# for coverage a full list is developed here
# for safety values pass-thru if not defined here

Mn|Minimal
Reggae, Dub|Reggae;Dub;Dub Reggae
Reggae & Dub|Reggae;Dub;Dub Reggae
Reggae-Pop|Reggae Pop
Reggea|Reggae
Remixes|Remixes
Rhythm & Blues|Rhythm & Blues;R&B;RnB
RnB|Rhythm & Blues;R&B;RnB
RnB/Swing|Rhythm & Blues;R&B;RnB;Swing
Rock|Rock
Rockabilly|Rock-a-billy;Rockabilly
Rocksteady|Rocksteady
Rock & Roll|Rock & Roll;Rock And Roll
Romantic|Romantic
Roots|Roots;Roots Reggae
Roots Reggae|Roots;Roots Reggae
Rumba|Rumba
Salsa|Salsa
Samba|Samba
Score|Score
Shoegaze|Shoegaze
Shoegazer|Shoegaze
Singer-songwriter|Singer Songwriter
Singer Songwriter|Singer Songwriter
Singer/Songwriter|Singer Songwriter
Ska|Ska
Slow Rock|Slow Rock
Smooth Jazz|Smooth Jazz
Soca|Soca
Soft Rock|Soft Rock
Soul|Soul
Soul-Jazz|Soul-Jazz
Sound Collage|Sound Collage
Soundscape|Soundscape
Soundtrack|Soundtrack;Stage & Screen;Score
Space|Space
Space-Age|Space-Age
Space Rock|Space Rock
Spoken|Spoken
Spoken Word|Spoken Word
Stage & Screen|Soundtrack;Stage & Screen;Score
Stoner Rock|Stoner Rock
Swing|Swing
Symphonic Rock|Symphonic Rock
Synth|Synth
Synth-pop|Synth-pop
Synth-Pop|Synth-pop
Synth Pop|Synth-pop
Synth-pop, New Wave, Pop|Synth-pop;New Wave;Pop
Synth-wave|Synth-wave;Synthwave
Synthie-Pop|Synth-pop
Synthiepop|Synth-pop
Synthpop|Synth-pop
SynthPop|Synth-pop
Synthpunk|Synth-punk;Punk
Synthwave|Synth-wave;Synthwave
Tech House|Tech House
Techno|Techno
TECHNO|Techno
Techno, Experimental|Techno;Experimental
Techno, Experimental, Ambient|Techno;Experimental;Ambient
Techno House|Techno House
Techno-Industrial|Techno-Industrial;Techno Industrial;Techno;Industrial
Techno-pop|Techno-pop;Technopop
Techno/Rock|Techno;Rock
Technopop|Techno-pop;Technopop
Texas Blues|Texas Blues
Trance|Trance
Trap|Trap
Tribal|Tribal
Tribal House|Tribal House
Trip Hop|Trip Hop;Trip-Hop
Trip-Hop|Trip Hop;Trip-Hop
Tropical House|Tropical House
Turntablism|Turntablism;DJ
Twee Pop|Twee Pop
UK Bass|UK Bass;Bass;Bass Music
UK Garage|UK Garage
UK Garage, Dubstep, Techno|UK Garage;Dubstep;Techno
Unclassifiable|Unclassifiable
Vocal|Vocal
Wave|Wave
Witch House|Witch House
World|World
World Music|World Music
Bebop|Bebop;Jazz
Modern Folk / Indie|Modern Folk;Indie
